NOMBRE ENTIDAD,TIPO ENTIDAD,FECHA CORTE,ESTADO FINANCIERO,CODIGO CUENTA,DESCRIPCION,SALDO,MONEDA
COOCIQUE R.L.,Cooperativas de Ahorro y crédito supervisadas*,2026-07-30,Indicadores financieros,ROE,ROE,0.02675097221484308,CRC
COOCIQUE R.L.,Cooperativas de Ahorro y crédito supervisadas*,2026-07-30,Indicadores financieros,CURRENT_PORTFOLIO,Cartera de crédito al día,0.7430214404323554,CRC
COOCIQUE R.L.,Cooperativas de Ahorro y crédito supervisadas*,2026-07-30,Indicadores financieros,COVERAGE_ARREARS,Cobertura de cartera en atraso,0.11811397050066393,CRC
COOCIQUE R.L.,Cooperativas de Ahorro y crédito supervisadas*,2026-07-30,Indicadores financieros,DELINQUENCY_90,Morosidad >90d y cobro judicial / Cartera Directa,0.031186402967683047,CRC
COOCIQUE R.L.,Cooperativas de Ahorro y crédito supervisadas*,2026-07-30,Indicadores financieros,OPERATING_EFFICIENCY,Eficiencia Operativa,0.7684773459006972,CRC
COOCIQUE R.L.,Cooperativas de Ahorro y crédito supervisadas*,2026-07-30,Indicadores financieros,ADMIN_EXPENSE_ASSETS,Gasto administrativo sobre activos,0.03470048243310709,CRC
COOCIQUE R.L.,Cooperativas de Ahorro y crédito supervisadas*,2026-07-30,Indicadores financieros,EQUITY_COMMITMENT,Compromiso Patrimonial,-0.0677,CRC
COOCIQUE R.L.,Cooperativas de Ahorro y crédito supervisadas*,2026-07-30,Indicadores financieros,CAPITAL_ADEQUACY,Suficiencia Patrimonial,0.1579,CRC
COOCIQUE R.L.,Cooperativas de Ahorro y crédito supervisadas*,2026-07-30,Indicadores financieros,LIQUIDITY_COVERAGE,Disponibilidades e Inversiones disponibles / Obligaciones público,0.42279149447447917,CRC
COOCIQUE R.L.,Cooperativas de Ahorro y crédito supervisadas*,2026-07-30,Indicadores financieros,PROPORTIONAL_SUPERVISION,Aplica Supervisión Proporcional,1,CRC
COOCIQUE R.L.,Cooperativas de Ahorro y crédito supervisadas*,2026-07-30,Indicadores financieros,STATE_GUARANTEE,Garantía del Estado,1,CRC
COOPAVEGRA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,MARGIN_INTERMEDIATION,Margen de Interm Financiera,0.036965323626433476,CRC
COOPAVEGRA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,ROA,ROA,-0.00468660267548599,CRC
COOPAVEGRA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,ROE,ROE,-0.022035374494001052,CRC
COOPAVEGRA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,CURRENT_PORTFOLIO,Cartera de crédito al día,0.8435655655338661,CRC
COOPAVEGRA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,COVERAGE_ARREARS,Cobertura de cartera en atraso,0.16435793758781223,CRC
COOPAVEGRA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,DELINQUENCY_90,Morosidad >90d y cobro judicial / Cartera Directa,0.034830859583442654,CRC
COOPAVEGRA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,OPERATING_EFFICIENCY,Eficiencia Operativa,0.8189356666203285,CRC
COOPAVEGRA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,ADMIN_EXPENSE_ASSETS,Gasto administrativo sobre activos,0.031226637882783084,CRC
COOPAVEGRA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,EQUITY_COMMITMENT,Compromiso Patrimonial,-0.0194,CRC
COOPAVEGRA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,CAPITAL_ADEQUACY,Suficiencia Patrimonial,0.2705,CRC
COOPAVEGRA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,LIQUIDITY_COVERAGE,Disponibilidades e Inversiones disponibles / Obligaciones público,0.398817610028759,CRC
COOPAVEGRA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,PROPORTIONAL_SUPERVISION,Aplica Supervisión Proporcional,0,CRC
COOPAVEGRA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,STATE_GUARANTEE,Garantía del Estado,0,CRC
COOPE EMPLEADOS AYA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,MARGIN_INTERMEDIATION,Margen de Interm Financiera,0.03810686457647659,CRC
